title,company,location,link
Annotation Analyst - Korean,Apple Inc.,대한민국,https://www.indeed.com/rc/clk?jk=3fc800428ddcb200&from=vj&pos=bottom
"[광주 북구] 도서정리, 피킹작업 등 알바",푸른숲,광주 북구,https://www.indeed.com/rc/clk?jk=fa763ddc6622d1c2&from=vj&pos=bottom
쿠팡플렉스/ 초보가능/ 자율근무/ 단기알바/ 야간알바/ 주말/ 평일,COUPANG FLEX,광주 북구,https://www.indeed.com/rc/clk?jk=df717c4b15b49ca4&from=vj&pos=bottom
운전만 하시면 월 500이상 벌수있습니다,에스앤피로지스,광주 광산구,https://www.indeed.com/rc/clk?jk=3897e90539c5eb15&from=vj&pos=bottom
차량소유자 전단지부착 단기알바,C.S교육원,광주 북구,https://www.indeed.com/rc/clk?jk=ae89b12440f3c355&from=vj&pos=bottom
시급쎈 꿀알바 택배 하차 아르바이트 (초보가능),롯데택배 동광주대리점,광주 광산구,https://www.indeed.com/rc/clk?jk=b0d41858b13542e2&from=vj&pos=bottom
DB입력 사무보조 업무 단기알바 (엑셀. 컴퓨터 프로그램 사용가능자),아이티엘,광주 북구,https://www.indeed.com/rc/clk?jk=b9d9fea50e5af5f0&from=vj&pos=bottom
mct직원,혁테크,광주 광산구,https://www.indeed.com/rc/clk?jk=fc337f315c9b0149&from=vj&pos=bottom
"[커플기숙사1인기숙사,단기알바가불주급]자동차휴대폰반도체전자/가공조립검사포장/남여동반미필초보",한가람,광주 광산구,https://www.indeed.com/rc/clk?jk=c60bded365ca1871&from=vj&pos=bottom
기술습득기회 - 평동 전자제품 SMT OP 사원 /장기근무가능,이음글로벌,광주광역시,https://www.indeed.com/rc/clk?jk=15c411f453f7313b&from=vj&pos=bottom
"[근무조건좋아요] 운전기사 1톤 2,5톤",새천년,광주 북구,https://www.indeed.com/rc/clk?jk=f049129d898c1abd&from=vj&pos=bottom
